trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-105.26795306339956,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-62.63551976437133,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-104.91484621248925,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-147.39369742993776,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-45.79142997750002,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-99.48305361025642,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-120.62452266438576,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,3,-76.9927821661546,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-177.3459576268403,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,1,-288.6991839044722,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 6}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-218.80362914297612,"{0: 11, 1: 5, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-93.6328161441624,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,7,-153.69636591765845,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 3}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-119.1194791244605,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-90.41774550902443,"{0: 9, 1: 7, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-73.45026570264685,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-47.14260242945239,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-145.81885711912358,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-29.226407851520378,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-90.05199412851842,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",35,0,-172.26728086229565,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-177.2572988541985,"{0: 20, 1: 3, 2: 1, 3: 3, 4: 3}",0
